ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,三个月后。,black,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,你坐在特别行动小组指挥部的办公室里，桌上摊着一份尚未完成的训练报告。晋升令是两个月前下来的，连同新的证件、新的权限、新的办公桌和一堆你还没来得及仔细看的内部文件。,,,,"bgfade(sntzm_ending5(3)_2,1)",源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,你成了指挥官，负责训练新一批特工。新人们看你的眼神里满是崇拜，那种混杂着敬畏和好奇的目光，让你有时会想起自己刚入行时的样子——虽然那段记忆现在回想起来，边缘总有些发虚。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,你曾试图调阅过“夜莺”的资料。查询系统里没有这个人。名字、代号、联络记录，全部空白。,,,,,源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,你以为是权限不够，让技术部的人查过，得到的答复是——数据库中不存在与该代号相匹配的人员信息，可能是临时人员，已到期自动注销。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,你又试着查询了盖曼·阿门努斯这个案件的后续进展。系统显示“已移交相关部门”，再往下翻就没有了。你问过直属上级，他只是拍了拍你的肩膀，说“有些案子是需要交给更高层处理的，别多想”。,,,,,源类型=type:txt_pb; 层级=5
7,旁白,hide,,,,你的确没有再多想——生活太顺了。晋升、嘉奖、新办公室、更高级别的任务。一切都在按照某种既定的、令人满意的轨迹运行，没必要深究。,,,,,源类型=type:txt_pb; 层级=6
8,旁白,hide,,,,然而，总有一些违和感会在某些特定的瞬间悄然浮现。,,,,,源类型=type:txt_pb; 层级=7
9,旁白,hide,,,,比如你在整理装备室的时候，发现新一批配发的装备清单上，供应商那一栏印着一行你没见过的名字——纳丁达克。你把这几个字在嘴里无声地念了一遍，舌尖没有传来任何似曾相识的触感。,,,,,源类型=type:txt_pb; 层级=8
10,旁白,hide,,,,你觉得自己应该记得这个名字。但却想不起来关于它的任何记忆。,,,,,源类型=type:txt_pb; 层级=9
11,旁白,hide,,,,比如你在某些清晨醒来时，太阳穴会传来一阵短暂的刺痛，像有什么东西在你的颅骨内侧轻轻敲了一记。,,,,,源类型=type:txt_pb; 层级=10
12,旁白,hide,,,,又比如，大卫被调走了。,,,,,源类型=type:txt_pb; 层级=11
13,旁白,hide,,,,调令下得很突然，没有说明原因，也没有转岗前的例行通知。他只给你发了一条短讯：“我曾被束缚，但现在自由了......我已无拘无束。”,,,,,源类型=type:txt_pb; 层级=12
14,旁白,hide,,,,之后就再没有消息。你给他打过几次电话，都是关机。你问过局里的人事部门，对方说大卫的新岗位涉及保密条例，暂时无法透露。,,,,,源类型=type:txt_pb; 层级=13
15,旁白,hide,,,,你等了很久。直到某天深夜，局里的紧急通报系统亮了红灯。你被从半梦半醒中叫起来，赶到会议室时，屏幕上是一份标注着最高优先级的通缉令。,,,,"bgfade(sntzm_ending5(3)_15,1)",源类型=type:txt_pb; 层级=14
16,旁白,hide,,,,通缉对象是大卫·梅森。罪名是长期潜伏于联邦调查局内部的敌方间谍，并在一次境外任务中杀害了十二名特工。通缉令下方有一行备注，写着他在暗网活动中所使用的代号。,,,,,源类型=type:txt_pb; 层级=15
17,旁白,hide,,,,亚波伦。,,,,,源类型=type:txt_pb; 层级=16
18,旁白,hide,,,,你盯着那三个字看了很久。会议室里的其他人都在说话，有人在分析他的逃亡路线，有人在调取他最后出现位置的监控录像，有人在争论他可能投靠的境外势力。那些声音在你耳边嗡嗡地响着，像隔着一层很厚的玻璃。,,,,,源类型=type:txt_pb; 层级=17
