ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:exeBC; 层级=0
2,旁白,hide,,,,是在外面继续追那个偷窥狂？但走廊里没有任何脚步声......不慎和队伍走失？不，这不是那个狡猾的大卫.梅森会犯的低级错误。,,,,,"源类型=type:txt_pb; 层级=1; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""克拉克线"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
3,你,hide,,,,先别管这个，大卫呢？怎么没见他跟上来。,,,,,源类型=type:txt_You; 层级=2
4,旁白,hide,,,,你的声音中混合着昏迷后的嘶哑与新加入的焦急，回荡在克拉克耳边，让他脸上的色彩顿时暗淡了大片。,,,,,源类型=type:txt_pb; 层级=3
5,克拉克,hide,Clark_nervous,,,......他不见了。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=4
6,旁白,hide,Clark_nervous,,,简单的四个字，在他口中却是那样的难以启齿。你本以为自己已不会对这个结果感到意外，但当它脱口而出的那一刻，你心中的某根绳子，还是在这令人窒息的重压下，咔一声崩断了。,,,,,源类型=type:txt_pb; 层级=5
7,克拉克,hide,Clark_nervous,,,当时我正追在那只黑影后面，他戴着兜帽，看不清性别。,,,,,源类型=type:txt_Clark; 层级=6
8,旁白,hide,Clark_nervous,,,他向你解释起数分钟前的情景，显然有些惊魂未定，你甚至能看到他扶在病床床头的手随着描述的深入微微颤抖。,,,,,源类型=type:txt_pb; 层级=7
9,克拉克,hide,Clark_nervous,,,当我赶上他，用枪指着他的后脑勺要求他停下时。他突然转过头，朝我露出了一双血淋淋的眼窝。,,,,,源类型=type:txt_Clark; 层级=8
10,克拉克,hide,Clark_nervous,,,我被他的样子吓到了，那是个小孩，浑身缠满绷带。若不是你倒在我后面，我怕我真的会忍不住一枪崩了他。,,,,,源类型=type:txt_Clark; 层级=9
11,你,hide,Clark_nervous,,,......那后来呢？,,,,,源类型=type:txt_You; 层级=10
12,克拉克,hide,Clark_nervous,,,我被你倒地的声音吸引了注意，一不留神便让他趁乱逃掉了，你当时倒在走廊的尽头，而大卫则直接没了影子。,,,,,源类型=type:txt_Clark; 层级=11
13,克拉克,hide,Clark_nervous,,,我以为他去了楼上堵截那个孩子，就一边用无线电呼叫，一边把你拖进了旁边的病房。,,,,,源类型=type:txt_Clark; 层级=12
14,你,hide,Clark_nervous,,,但最后，他还是没有回应，是吗？,,,,"charfadeout(L,1)",源类型=type:txt_You; 层级=13
15,旁白,hide,,,,他沉默了片刻，朝你点了点头。尽管这并非他的错，眼神中流露的遗憾和歉意依旧灼伤了你，让你觉得自己才是那个最大的拖油瓶。,,,,,源类型=type:txt_pb; 层级=14
16,旁白,hide,,,,,,,,choice(安慰他|jump(17))&choice(你知道此刻多说无益，打算先冷静下来共享情报。|jump(19)),源类型=type:selectBC; 层级=15
17,旁白,hide,,,,安慰他,,,,,源类型=type:txt_pb; 层级=16
18,旁白,hide,,,,你不打算让他独自承担这份罪责，于是主动安慰道。,,,,,源类型=type:txt_pb; 层级=17
20,你,hide,,,,这不是你的错，大卫此刻的情况也尚不明了，说不定他只是刚好在奔跑时弄丢了无线电。过会儿就下来找我们汇合了。,,,,,源类型=type:txt_You; 层级=18
21,旁白,hide,,,,你轻拍着他结实的肩膀，感受着那身健硕肌肉下传来的无助的震颤。你们都知道这种盲目的乐观不过是自我安慰的止痛片，但在眼下的绝境中，任何一丝希望都是值得去把握的。,,,,,源类型=type:txt_pb; 层级=19
22,克拉克,hide,Clark_nervous,,,不，你不明白，亚当......,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=20
23,旁白,hide,Clark_nervous,,,他喃喃自语道,,,,,源类型=type:txt_pb; 层级=21
24,克拉克,hide,Clark_nervous,,,这已经不是我第一次犯这种错误了——一个人冲在前面，全然不顾同伴安危，结果每次都把事情搞砸。,,,,"charfadeout(L,1)",源类型=type:txt_Clark; 层级=22
25,旁白,hide,,,,他长叹一口气望向窗外，半边脸深埋于窗栏的阴影之中，看不清表情，就像一头被囚禁的困兽。,,,,,源类型=type:txt_pb; 层级=23
