ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:exeBC; 层级=0
3,盖曼,hide,Gaiman_default,,,你们现在看到的那颗机械心脏，只是个被制作出来的赝品。它是造梦设备早期型号里的一段错误代码包装成的东西。,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=1
4,盖曼,hide,Gaiman_default,,,如果有人把它带回现实，在造梦设备读取它的刹那，它会反向侵入医院的供电网络让整个医院陷入全面断电。所有还在运转的造梦设备、所有还在梦境中的病人和实验体——都会在那一瞬间被强制唤醒。,,,,,源类型=type:txt_Gaiman; 层级=2
5,旁白,hide,Gaiman_default,,,他转过脸，目光先后落在你们三个人身上，声音里没有骄傲，只是平静地陈述。,,,,,源类型=type:txt_pb; 层级=3
6,盖曼,hide,Gaiman_default,,,……这不是完美的解决方案。它不能摧毁公司，甚至会放出一些失控的患者，但这是曝光纳丁达克罪行的唯一机会，而且也能解救一些被囚禁的病人。,,,,,源类型=type:txt_Gaiman; 层级=4
7,旁白,hide,Gaiman_default,,,他收回了手，指腹离开玻璃壁面时留下了淡淡的指痕。,,,,,源类型=type:txt_pb; 层级=5
8,盖曼,hide,Gaiman_default,,,公司之所以追着盖亚之心不放，是因为造梦设备需要有一个‘管理中枢’——一个能稳定承载大量意识连接的大脑。最初，那个人是我。所以他们取走了我的大脑，想把它变成一台活体服务器。,,,,,源类型=type:txt_Gaiman; 层级=6
9,旁白,hide,Gaiman_default,,,他的语气没有变化，但那些词落在地上时，你能感觉到比愤怒更深的东西——是疲惫。,,,,,源类型=type:txt_pb; 层级=7
10,盖曼,hide,Gaiman_default,,,我是他们第一个成功的梦主。但我的意识一直在抵抗做梦，所以他们便制造了一个更听话的我。亚波伦。,,,,,源类型=type:txt_Gaiman; 层级=8
11,盖曼,hide,Gaiman_default,,,后面的事情你们已经知道了。他开始反抗，杀掉了公司丢进这个世界的大部分实验体。公司发现了自己创造的东西不再受控——因此他们才想把盖亚之心从我脑子里带走，以便复制给那些更容易控制的适配个体。,,,,,源类型=type:txt_Gaiman; 层级=9
95,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=10
13,旁白,hide,Gaiman_default,,,他的目光在大卫身上微微沾粘了一瞬，随后识趣地移回到你们身上。,,,,,源类型=type:txt_pb; 层级=11
14,盖曼,hide,Gaiman_default,,,所以我把数据藏在了这里，等着合适的人来。既然索菲亚带你们来了，我想——你们应该就是我一直等的人。,,,,,源类型=type:txt_Gaiman; 层级=12
15,旁白,hide,Gaiman_default,,,他目光未移，神情却较方才舒缓几分，仿佛那根紧绷许久的神经终于稍作松弛。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=13
16,克拉克,hide,Clark_default,,,你就这么相信我们？,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=14
17,旁白,hide,Clark_default,,,克拉克仍举着枪，但手指没有扣在扳机上，只是象征性地维持着戒备的姿态，让对方知道他们这三头困兽依然保留着用于撕咬的利齿，不是任他利用的工具。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=15
18,盖曼,hide,Gaiman_default,,,自从你们踏入这个梦境的那一刻，我就一直在观察着你们的一举一动。而且......如果不是她最终给予了你们同等的信任，我想你们也大概找不到这里。,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=16
19,旁白,hide,Gaiman_default,,,他肩上的飞蛾在这句话落下的刹那再次振翅而起，围着你们三个人转了一大圈。每当你们面临关键的抉择，或在某个岔路口迷路时，这只体积不足方寸的生物就会及时出现在你们面前，帮你们指明前进的方向。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=17
20,旁白,hide,,,,看来从一开始，它就在亚波伦控制的大片区域中静悄悄地充当着盖曼的耳目。,,,,,源类型=type:txt_pb; 层级=18
21,旁白,hide,,,,索菲亚终于凑近过来，她的声音从你身后传出，带着一种欣慰之余又混杂着一丝难言的苦涩。,,,,,源类型=type:txt_pb; 层级=19
22,索菲亚,hide,Sophia_default,,,……你还真是一点也没变，无论外貌还是做事的方式。,,,,"charfadein(L,1)",源类型=type:txt_Sophia; 层级=20
23,旁白,hide,Sophia_default,,,盖曼微微侧身看向她，嘴角浮起一个几乎看不出弧度的微笑。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=21
24,盖曼,hide,Gaiman_default,,,……因为变了的部分都被分到亚波伦那边了。,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=22
25,旁白,hide,Gaiman_default,,,索菲亚低下头，发丝垂下来挡住半张脸，将她这些年的脆弱和委屈揉成了一团模糊的阴影。那些攒了快半辈子的情绪在这一刻终于找到了可以释放的出口。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=23
26,索菲亚,hide,Sophia_default,,,可我变了。你走了之后……我在公司那边做了很多事情。我被骗过，也明知有些事不对还做了。我劝那些病人躺进造梦设备里，我知道他们在梦里要经历什么，但我还是.....,,,,"charfadein(L,1)",源类型=type:txt_Sophia; 层级=24
27,旁白,hide,Sophia_default,,,她说到这里停住了，像是一句话走到悬崖边上，不知道该不该继续向前。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=25
28,盖曼,hide,Gaiman_default,,,在力量不够的时候，任谁都会有妥协。,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=26
29,旁白,hide,Gaiman_default,,,他的目光落在自己悬在身侧的一只手掌上，那手掌的轮廓在灯光中微微透明，仿佛正缓慢地散成无数细碎的光絮。,,,,,源类型=type:txt_pb; 层级=27
30,盖曼,hide,Gaiman_default,,,我被困在这里的时候，看着亚波伦用那些病人在梦里一遍又一遍训练，无限循环地死亡，直到他们被折磨成没有意识的活体兵器。我知道那些事在外面发生，却阻止不了他。,,,,,源类型=type:txt_Gaiman; 层级=28
31,旁白,hide,Gaiman_default,,,他抬眼看向索菲亚，眼神柔和得像那片能在悬崖底部兜住她的云朵：,,,,,源类型=type:txt_pb; 层级=29
32,盖曼,hide,Gaiman_default,,,所以——从某种角度来说，我们也算是同罪。,,,,,源类型=type:txt_Gaiman; 层级=30
33,旁白,hide,Gaiman_default,,,当话题触及“罪孽”二字时，大卫平放于腰侧的手指紧紧攥成了拳头。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=31
34,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=32
35,旁白,hide,,,,和从始至终都知道自己在做些什么的索菲亚不同，当他在电刑椅上被亚波伦细数那些自己曾经犯下的过错——那些为了名利所进行的不实宣传，为了高额酬金而撒下的谎言。以及因为这些谎言而被毁掉整个人生的阿兰.斯科特。,,,,,"源类型=type:txt_pb; 层级=33; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""端详飞蛾（克拉克）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
37,旁白,hide,,,,浮现于脑海中的却只剩下被纳丁达克洗去记忆后的，迷迷糊糊的负罪感。他不知道那些罪行是何时发生的、不知道犯下罪行的自己是否还有资格成为身旁两人的同伴、更不知道赎罪二字对于自己而言，是否已经太迟。,,,,,源类型=type:txt_pb; 层级=34
38,旁白,hide,,,,只有那盘记录着那场听证会的，正面写着一个大大的“L”的磁带，始终安安稳稳躺在他口袋里，时刻提醒着自己身为骗子（Liar）的过去。,,,,,源类型=type:txt_pb; 层级=35
41,盖曼,hide,Gaiman_default,,,但你后来对设备动了手脚。你给了他们看到真相的机会，也给了自己一个重新选择的机会。你选择了为做过的事负责，哪怕那负责的方式是一条很长的路。,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=36
42,旁白,hide,Gaiman_default,,,盖曼语气中的柔和一如往昔，带着跨越时间的温度，一点点地融化了那些在寒夜独行中结出的坚冰。即使一切早已物是人非，即使身处如此绝望的境地，他依旧是她的老师，从未变过。,,,,,源类型=type:txt_pb; 层级=37
43,盖曼,hide,Gaiman_default,,,所以，我想这份选择的背后并非只有罪孽，索菲亚。在力量还不足以改变一切的时候，隐忍和积累往往比以卵击石更有可能改变现状。,,,,,源类型=type:txt_Gaiman; 层级=38
44,旁白,hide,Gaiman_default,,,房间里安静了一会儿。培养罐里的心脏还在缓慢跳动，发出低频的、几乎被听觉忽略的震动声。索菲亚站在容器下方的阴影里，发梢被她自己攥得有些蜷曲。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=39
45,旁白,hide,,,,你没有看她，却能听见她压在喉咙里的细微抽气声，像一片被雨打湿的羽毛，轻轻蹭在所有人的心口。,,,,,源类型=type:txt_pb; 层级=40
46,大卫,hide,David_default,,,那现在要怎么做？我们都已经走到这一步了，这一切必须得有个结果，不是吗？,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=41
