ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,面对大卫迟来的道歉，你的选择是：,,,false,"bgfade(sntzm_david313-315(2)_33,1)",源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,,,,,choice(表达体谅|jump(5))&choice(沉默不语|jump(16)),源类型=type:selectBC; 层级=1
3,旁白,hide,,,,,,,,,源类型=type:txt_pb; 层级=2
5,旁白,hide,,,,你将手轻轻放在他的肩上，没有用力，只是从上面掸去几粒灰尘，将它重新摆正。,,,,,源类型=type:txt_pb; 层级=3; tag=安慰
6,你,hide,,,,先活着出去，只有活着才能谈得上道歉；只有找到真相，才是对这一切最好的偿还。无论FBI还是记者，都是如此。,,,,,源类型=type:txt_You; 层级=4
7,旁白,hide,,,,随着你手指的离开，他的肩膀肉眼可见地松弛下来，仿佛在那一瞬间卸下了千斤的重压。,,,,,源类型=type:txt_pb; 层级=5
8,大卫,hide,David_bandage,,,嗯......,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=6
9,旁白,hide,David_bandage,,,大卫用力地点着头，那双长期保持警惕的眼睛，此刻正被一圈温热的晶莹所包裹，在月光下反射着纯然的光泽。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=7
10,旁白,hide,,,,你转过身，按下录音机上的一个按钮，只听“啪嗒”一声，整盘磁带如尸体般滑了出来，被你轻捏在掌心。,,,,"bgfade(sntzm_david313-315(3)_10,1)",源类型=type:txt_pb; 层级=8
11,旁白,hide,,,,它摸起来凉飕飕的，像一块冻了数十年的冷硬的石头。磁带中间竖着一道凹陷的口子，似是被什么尖锐的利物刺出的伤痕。,,,,,源类型=type:txt_pb; 层级=9
12,旁白,hide,,,,裂口旁，一个歪歪扭扭的大写的L在手电的寒光下清晰可见。当大卫的目光在这道粗糙的字迹上扫过时，那双赤红的瞳孔再一次不受控制地收紧了。,,,,,源类型=type:txt_pb; 层级=10
13,旁白,hide,,,,你不敢有丝毫耽搁，将它收进裤包便扭头看向外面的走廊。诡谲的光依旧在那只飞蛾身上持续不断地闪烁着，如同深海中若隐若现的信号灯，没人知道它后面藏着的是美丽的珊瑚还是鲨鱼的血口。,,,,"bgfade(sntzm_david313-315(3)_13,1)",源类型=type:txt_pb; 层级=11
14,你,hide,,,,我们走吧。,,,,,源类型=type:txt_You; 层级=12
15,旁白,hide,,,,你率先迈开步子，以光为刃劈开周围的黑暗，沿着地上的血脚印朝B3-15号病房走去。,,,,jump(21),源类型=type:txt_pb; 层级=13; gotomainline=21
4,旁白,hide,,,,,,,,,源类型=type:txt_pb; 层级=2
16,旁白,hide,,,,你没有看他，只是兀自按下录音机上的某个开关。随着你的动作，那盘记录着罪证的磁带“啪嗒”一声弹了出来，像从巨兽肠道里挖出来的一具腐坏的尸体。,,,,"bgfade(sntzm_david313-315(3)_10,1)",源类型=type:txt_pb; 层级=3; tag=沉默
17,旁白,hide,,,,磁带中央竖着一道凹陷的口子，似是被什么尖锐的利物用力顶撞过。裂口旁用笔画着一个大写的“L”，当大卫的目光在这道粗糙的字迹上扫过时，那双赤红的瞳孔再一次不受控制地收紧了。,,,,,源类型=type:txt_pb; 层级=4
18,旁白,hide,,,,他没有阻止你带走这件日后可能令自己身陷罪嫌的证物，只是默默地看着你将一切收好，转头将灯光照向门外的阴影。飞蛾身上诡谲的微光与手电的强光撞在一起，将B3-15号病房的门栏擦得雪亮。,,,,"bgfade(sntzm_david313-315(3)_13,1)",源类型=type:txt_pb; 层级=5
19,你,hide,,,,跟上去。,,,,,源类型=type:txt_You; 层级=6
20,旁白,hide,,,,你率先迈开步子，把大卫独自留在B3-13病房的黑暗里。当脚下半凝的血脚印再次插进你的视野时，你感觉身后脚步声明显加快了一些。,,,,,源类型=type:txt_pb; 层级=7
21,旁白,hide,,,,即使在这种非常时期，特工的职业病依旧让你们尽其所能地避免着对现场的破坏，每一步都小心地绕开了地上的脚印。这种在大量任务中练就的习惯，让你刚才对自身身份的怀疑稍微得到了一丝缓解。,,,,,源类型=type:txt_pb; 层级=8
22,旁白,hide,,,,飞蛾扑扇着翅膀飞入屋内，随后便敛翅消失在了门缝下的阴影之中，像是一个完成了使命的信差。,,,,,源类型=type:txt_pb; 层级=9
23,旁白,hide,,,,,,,,"bgfade(sntzm_david313-315(3)_23,1)",源类型=type:exeBC; 层级=10
24,旁白,hide,,,,大卫半信半疑地摸进去半个身子，平日里生龙活虎的闹腾劲也因为你的那句“赦免”恢复了几分温度。,,,,,"源类型=type:txt_pb; 层级=11; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""安慰"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
27,大卫,hide,David_bandage,,,这怪蛾子真的可以相信吗？我看你之前可是一直对它念念不忘啊。,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=12
28,旁白,hide,David_bandage,,,你没有第一时间回应同伴的质疑，只是带着FBI探员一以贯之的谨慎，用手电扫视着屋内——这仿佛是你此刻与这个身份之间仅存的纽带。,,,,,源类型=type:txt_pb; 层级=13
29,你,hide,,,,或许是因为这种动物天生的趋光性吧，哪里有光，它就会飞去哪里。而在这片黑嗖嗖的破楼里，有光的地方，就是存在异常的地方。,,,,,源类型=type:txt_You; 层级=14
