ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:exeBC; 层级=0
2,旁白,hide,,,,你的拳头在听到这句话时不受控制地攥紧了，当那对空空如也的眼眶在一张孩子的脸上浮现于眼前时，你曾想象过无数种残酷的可能，但没有一种比他自己在极端崩溃中的自残来得更加触目惊心。,,,,,源类型=type:txt_pb; 层级=1
4,亚波伦,hide,,,,或许他们是对的，他们只是永远都不会承认是自己，还有他们亲自送他进去的，那些以矫正为名的学校逼疯了他。你们已经习惯于这种自我欺骗，总想在光鲜亮丽的舞台上接受赞美，却对自己一手缔造的阴影视而不见。,,,,,源类型=type:txt_Abaddon; 层级=2
3,亚波伦,hide,Abaddon_default,,,这就是为什么贪婪和欲望总是能轻易地战胜良知；为什么梦境会被用于接管现实；为什么生而邪恶的我，会被制造出来压制那个善良的盖曼。,,,,,源类型=type:txt_Abaddon; 层级=3
51,旁白,hide,Abaddon_default,,,他的视线依旧在那块写有圣徒计划的屏幕上呆滞地停留着，这个距离并不足以他看清上面写了什么，但里面的每一个字，都早已都刻进了他诞生之初的基因，成为了令这副残破躯壳更加扭曲的一部分。,,,,,源类型=type:txt_pb; 层级=4
52,亚波伦,hide,Abaddon_default,,,是你们选择了这么做，选择了创造恶魔来取代天使。而作为一个被你们亲手创造出来的恶魔，我会非常乐意，将被创造时赋予的使命，以更加极致的方式贯彻到底。,,,,,源类型=type:txt_pb; 层级=5
53,旁白,hide,Abaddon_default,,,“啪嗒”,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=6
57,旁白,hide,,,,随着亚波伦座椅的扶手上传出一声轻响，一股巨大的能量波动猛地席卷了他的身体，顺着整间手术室的墙壁扩散开来，惨白的灯光开始疯狂闪烁，每一次明暗交替都带着电流滋啦的炸响。,,,,"playsfx(ElectricShock)&bgfade(sntzm_final(3)_57,1)",源类型=type:txt_pb; 层级=7
58,旁白,hide,,,,他的身体突然开始不受控制地抽搐起来，原本搭在扶手上的手指疯狂地痉挛着，额头上渗出大颗冷汗，连原本挂在脸上的怨毒与傲慢都扭曲成了痛苦的狰狞。,,,,,源类型=type:txt_pb; 层级=8
59,旁白,hide,,,,原本还瘫坐在椅子上的男人在难以忍受的剧痛中轰然惊醒，背部不受控制地向后弓起，两眼以一种恐怖的角度向上翻起，血管从青白的皮肤下暴突起结，像是有无数条虫子在着他的血管里疯狂蠕动。,,,,,源类型=type:txt_pb; 层级=9
60,你,hide,,,,不！你做了什么？！,,,,,源类型=type:txt_You; 层级=10
61,亚波伦,hide,,,,很明显......亚当，两边的电椅......我全部启动了......,,,,,源类型=type:txt_Abaddon; 层级=11
62,旁白,hide,,,,亚波伦抽搐着抬起头，嘴角扯出一抹带着血沫的笑，其中并没有看到太多痛苦，反而写满了得偿所愿的满足。,,,,,源类型=type:txt_pb; 层级=12
63,亚波伦,hide,,,,多亏了那些资料......让我拥有足够的时间，来进行最后的......调整工作。,,,,,源类型=type:txt_Abaddon; 层级=13
64,亚波伦,hide,,,,已经没有必要......和你们继续浪费时间。,,,,,源类型=type:txt_Abaddon; 层级=14
