ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,只听“哐当”一声脆响，镜面瞬间裂成蛛网般的碎片，沾着水汽的玻璃顺着力道在暗室的地面上溅射出一道亮晶晶的扇形轨迹。,,,false,playsfx(GlassBreaking),源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,仅容一人通过的窄门就这么在你们面前大方地敞开，与之相连的是一个摆满人脑标本的，令人发毛的房间。,,,,"bgfade(sntzm_clark3F(3)_2,1)",源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,你们一前一后地走入屋内，方才微弱的福尔马林气息以5倍的浓度席卷着你们的感官，与其说是这个房间里的药物浓度更高，不如说此处才是刚才空气中那股刺鼻气味的真正来源。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,克拉克伸手抹了把溅在袖口上的玻璃渣，手中的光圈往四面一扫。无数核桃状的大脑瞬间犹如漫天的炮弹般轰入你们的眼帘，它们或是被泡在标注着编号的透明标本瓶里，或是被打上蜡封陈列在两侧的铁架上。,,,,,源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,每一颗脑仁的表面都沟壑分明，却又没留下一丝脏污的血迹，让人忍不住怀疑它们到底是真的从人脑中取出，还是仅仅只是逼真的模型道具。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,靠门的一侧横着的长方形办公桌，成为了这间暗室里为数不多的正常的物件，但其上放置的一台电脑，以及一个酷似VR装置，接口处插满管线的头盔。无疑又为这个房间添上了几分诡异的科技感。,,,,"bgfade(sntzm_clark3F(3)_6,1)",源类型=type:txt_pb; 层级=5
7,克拉克,hide,Clark_default,,,这就是资料里提到的造梦设备？,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=6
8,旁白,hide,Clark_default,,,他的喉咙滚动了一下，似乎正竭力平息着胸口翻涌的惊涛骇浪，指尖悬在那台冰冷的头盔上方，迟迟没有落下。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=7
9,旁白,hide,,,,你跟着走到桌旁，手电的光圈落在电脑亮着的屏幕上——屏幕没有锁屏，桌面上正好停着一份没来得及关掉的实验日志，最新的更新时间就停在今日的下午7点。,,,,,源类型=type:txt_pb; 层级=8
10,你,hide,,,,看来我们猜的没错，那个神秘的医生一直都藏在这里，而且很可能依旧在进行某种危险的研究。,,,,,源类型=type:txt_You; 层级=9
11,你,hide,,,,你迅速接管了这台电脑，手指以特工应有的熟稔在鼠标上快速滑动起来。,,,,,源类型=type:txt_You; 层级=10
12,旁白,hide,,,,电脑里的文件并不多，甚至可以称得上极为简约。桌面上只有寥寥几个文件，像餐桌上被人吃剩的披萨，来者不拒地对向一个入座的食客敞开着自己。,,,,,源类型=type:txt_pb; 层级=11
13,旁白,hide,,,,你点开最上面的那个写有“口令”的txt格式文档。内容只有几行短字，读起来却让人心里发毛——,,,,"bgfade(sntzm_clark3F(3)_13,1)",源类型=type:txt_pb; 层级=12
14,旁白,hide,,,,"“第一阶段：现实。你看到的世界，是别人让你看到的。”
“第二阶段：梦境。你以为的自由，是别人为你选择的。”
“第三阶段：怪物。你恐惧的，是你自己。”",,,,,源类型=type:txt_pb; 层级=13
15,旁白,hide,,,,"“第四阶段：罪恶。你背负的，可以放下。”
“第五阶段：飞蛾。你追寻的光，在你心里。”
“第六阶段：武器。你不是工具，你是......。”",,,,,源类型=type:txt_pb; 层级=14
16,旁白,hide,,,,口诀的最后几个字被一段省略号替代了，仿佛没有一篇故事刻意留白的尾声。内容虽短，却仍有几个关键词被提起——梦境与造梦设备、怪物与杰森，以及武器与杰森口中的那些人体改造实验，冥冥之中似乎都能对号入座。,,,,,源类型=type:txt_pb; 层级=15
17,旁白,hide,,,,唯一让你感到有些惊讶的或许是第五阶段提到的“飞蛾”，早在挂号大厅的时候这只生物就已经和你们有过一面之缘，甚至帮助你们找到了盖曼的照片和办公室，倘若它的两次出现和指路都并非只是趋光的天性使然。,,,,,源类型=type:txt_pb; 层级=16
18,旁白,hide,,,,说不定就连这种昆虫，也曾经以某种形式参与或至少验证过关于造梦设备的某些理论，就像实验室里的小白鼠一样。,,,,,源类型=type:txt_pb; 层级=17
19,旁白,hide,,,,你正对着这段口诀沉思，身侧的克拉克已经忍不住打开了桌面上的第二个文件。那是一份标注着日期的录音文件，时间正是前年的今日。,,,,"bgfade(sntzm_clark3F(3)_19,1)",源类型=type:txt_pb; 层级=18
20,旁白,hide,,,,克拉克点开播放键，一阵沙沙的电流杂音后，一道清雅伶俐的女声顺着主机的音响飘了出来:,,,,playsfx(Sizzle),源类型=type:txt_pb; 层级=19
21,旁白,hide,,,,“......研究表明，人类在快速眼动睡眠期间，大脑前额叶皮层的活跃度显著降低，而杏仁核与海马体的连接则趋于增强。这解释了为何梦境内容往往带有强烈的情感色彩，却缺乏逻辑连贯性.......”,,,,,源类型=type:txt_pb; 层级=20
22,旁白,hide,,,,那是一个年轻女性在背诵医学论文，语气认真、偶尔卡壳，但隐约之间又让你们感到莫名的熟悉。,,,,,源类型=type:txt_pb; 层级=21
23,旁白,hide,,,,女声的主人尚未在记忆中形成清晰的轮廓，又一个低沉厚重的男音便旋即打断了你们的思考。那是一个你们绝对忘不掉的声音。,,,,,源类型=type:txt_pb; 层级=22
24,旁白,hide,,,,“等等，索菲亚。你说的这部分是2007年《神经科学评论》的结论——但2011年斯坦福的那篇论文提出了相反的观察。你记得它怎么说吗？”,,,,,源类型=type:txt_pb; 层级=23
