ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,伴随着一阵刺耳的拖地声，这扇标有B-512的沉重铁门应声弹开，手电光柱如利刃般劈开室内的黑暗，跟着的着是你们紧随其后的两支枪口。,,,false,"bgfade(sntzm_david4F(2)_1,1)",源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,房间比想象中大得多，与其说是一间电击治疗室，倒更像是一间审讯室。,,,,,源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,两侧墙壁上各挂着一张闪着花白乱码的监视器屏幕，粗粝的防静电橡胶垫从角落一直延伸到房门，几根断裂的线缆从天花板无力地垂下，如同被手术刀斩断的神经末梢。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,但最为显眼的，还是嵌在房间内侧的两间隔舱，隔间的铁门被电子锁紧紧咬住，只留出一块不到10英寸的半透明玻璃，让你们勉强看清里面的景象。,,,,,源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,左侧隔间的电椅子上坐着一个人，头垂着，双手被宽大的金属扣缚在扶手上，胸口还有微弱的起伏，这个人你们很熟悉。,,,,"bgfade(sntzm_david4F(2)_5,1)",源类型=type:txt_pb; 层级=4
6,大卫,hide,David_bandage,,,克拉克！,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=5
7,旁白,hide,David_bandage,,,大卫想都没想就扑到了门边，隔着那扇小小的窗户对他大声喊话。受困的警官微微抬起他胀痛的头部，盯着他看了半天才勉强从药物带来的眩晕中认清来者的样貌。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=6
8,克拉克,hide,,,,大卫...还有......,,,,,源类型=type:txt_Clark; 层级=7
9,你,hide,,,,我在，克拉克，别担心……我们很快就把你弄出来。,,,,,源类型=type:txt_You; 层级=8
10,旁白,hide,,,,大卫的行动比你的安慰来得更快，灵巧的五指即刻摆弄起门上的电子锁。,,,,,源类型=type:txt_David; 层级=9
11,旁白,hide,,,,你则把注意力转向了和克拉克并排而立的另一个隔间，透过玻璃一看，里面果然也有一个被困住的男人。,,,,"bgfade(sntzm_david4F(2)_11,1)",源类型=type:txt_pb; 层级=10
12,旁白,hide,,,,他和克拉克一样低垂着头，浑身疲软地瘫在木制的电椅上。染血白大褂像块裹尸布覆在他单薄的身躯上，如果不是从袖口里伸出的几根手指还在微微颤动。你甚至会怀疑他是否已经变成了一具冰冷的尸体。,,,,,源类型=type:txt_pb; 层级=11
13,你,hide,,,,喂，听得到吗？我们是来救你们的，你也是被那个男人......,,,,,源类型=type:txt_You; 层级=12
14,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=13
15,旁白,hide,,,,你口中的话刚说出一半，便被那张突然抬起的、同样熟悉的面孔生生截停在了半空。,,,,"bgfade(sntzm_david4F(2)_15,1)","源类型=type:txt_pb; 层级=14; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""飞蛾线"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]},{""sortnum"":""2"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""端详飞蛾（大卫）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
17,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=15
