ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,这味道几乎贯穿了任务整个的始终，从你们踏入圣诺汀医院的第一步开始，就一直在你们鼻尖缠绕。而它如今再一次出现了，来源正是盖曼身后敞开的那三床金属设备。,,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,舱门不知道什么时候已经全部打开，泛着冷光的金属内壁上，还沾着不知道是谁留下的暗红色斑驳痕迹。,,,,,源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,你盯着盖曼的眼睛看了很久。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,那里面有疲惫，有焦灼，有一种被深埋了太久、几乎已经忘了该如何表露的急切。但你没有在里面看到真相。你只看到了一个人在努力说服你相信一件他自己都无法证明的事。,,,,,源类型=type:txt_pb; 层级=3
5,你,hide,,,,你说这是梦境。,,,,,源类型=type:txt_You; 层级=4
6,旁白,hide,,,,你终于开口，声音平静得让自己都有些意外。,,,,,源类型=type:txt_pb; 层级=5
7,你,hide,,,,那这三台设备又是什么？你这个所谓的‘梦境’里，这里的造梦设备又是做什么用的？,,,,,源类型=type:txt_You; 层级=6
8,盖曼,hide,Gaiman_default,,,这是我用盖亚之心的知识，在梦境中搭建的返回节点。现实中的那三台设备是入口，这三台是出口。我在现实中已经只剩一颗大脑了，走不了。但你们可以。,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=7
9,旁白,hide,Gaiman_default,,,你点了点头，假装在消化这个信息。身子却往前挪了半步，手指拂过最近那台舱体的边缘，指腹在设备的金属林廓上摩挲了一瞬，语气随之变冷。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=8
10,你,hide,,,,“他开始反抗，杀掉了公司丢进这个世界的大部分实验体”这是你的原话。,,,,,源类型=type:txt_You; 层级=9
11,你,hide,,,,既然你有返回现实的手段，那你有没有帮过他们？帮过那些被困在这里，被亚波伦狩猎的病人？,,,,,源类型=type:txt_You; 层级=10
